href,href_response
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.a-Volusia.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.b-Love.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.a-Samoa.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.14-EsperanceBoats.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.10.b-Samson.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.10.a-McGrath.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.03.b-Xelela.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.03.a-Japan.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.c-Maccarty.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.b-SouthPadre.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.a-Elmore.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.27-Veatch.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.26.b-Spain.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.26.a-Kensington.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.23-Bigelow.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.18-JupiterDiver.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.10-Suttle.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.05-Schachinger.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.03-Massachusetts.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.01-Conroy.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.29.c-Simatacolos.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.29.a-Georgetown.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.27-Bahamas.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.26.R-Massey.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.24-Matsu.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.23.a-Majorca.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.22-Keys.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.20.b-Jackson.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.20.a-Geyling.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.11-Lawson.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.09-Lanza.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.07.R-Rodriguez.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.07-Stein.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.02-Comoros.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.29-Wrightsville.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.21-Wallhauser.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.19-SingerIsland.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.18.b-Readnour.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.18.a-Reunion.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.17-Spain.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.14.R-Carly.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.10.b-Flinders.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.10.a-Brock.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.07.R-Thomson.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.04-Simpson.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.30-Higgins.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.28-Jordan.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.12-Beloushi.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.06.R-Neille.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.06-Rozada.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.03-Raab.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.d-Ericson.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.c-Plett.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.a-Dubosc.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.27-NZ.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.22-Gonsalves.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.20-PawleysIsland.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.17.b-Volusia.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.14-Baboo.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.13-Perry.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.12.b-Keyton.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.12.a-Mairhuber.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.10.b-Melbourne.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.10.a-Orr.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.07-Stephens.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.02.b-Kleiden.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.02.a-Taylor.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.11-Reintegrado.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.09-Keywood.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.25-WesternAustralia.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.21-Naussance.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.11-MelbourneBeach.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.06.b-Brazil.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.06.a-Umhlanga-kayak.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.01.b-Boat.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.01.a-Vonk.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.24-Andrade.pdf,200.0
