date,year,type,country,area,location,activity,sex,injury,fatal_(y/n),time,species,href,species_sorted,age3,month_attack
21-Dec-1929,1929.0,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Diving,M,Recovered at Thursday Island Hospital,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1920.06.27-Hubbard.pdf,,16.63317528426245,Dec
16-Dec-1929,1929.0,Unprovoked,AUSTRALIA,New South Wales,Collaroy,Bathing or body surfing ,F,Superficial lacerations on right leg,N,,"""a small shark""",http://sharkattackfile.net/spreadsheets/pdf_directory/1920.03.08-Burgess.pdf,,17,Dec
13-Dec-1929,1929.0,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Pearl diving,M,Injuries to chest & arm,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1920.01.24.R.b-TorresStrait-diver.pdf,,19.118343195872672,Dec
Reported 09-Dec-1929,1929.0,Unprovoked,,,,,M,FATAL,Y,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1920.02.03-Toft.pdf,,20,Dec
Reported 03-Dec-1929,1929.0,Unprovoked,AUSTRALIA,Queensland,Townsville,,M,FATAL,Y,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1920.01.24.R.a-JapaneseDiver.pdf,,50,Dec
29-Nov-1929,1929.0,Sea Disaster,KIRIBATI,Phoenix Islands,Nikumaroro Island,"Sea Disaster, wreck of the  SS Norwich City",M,"11 of her crew perished, most, possibly all, deaths were due to drowning",Y,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1920.01.15-Miller.pdf,,1.3882904874681472,Nov
21-Nov-1929,1929.0,Unprovoked,CUBA,Cienfuegos Province,Cienfuegos,Fishing,M,"Shark attacked his boat, threatening to capsize it. He jumped overboard & shark bit his arm. He knifed & killed shark. Later his arm was surgically amputated",N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1920.00.00.c-Jamaica.pdf,,23.53840110466668,Nov
20-Oct-1929,1929.0,Unprovoked,AUSTRALIA,Torres Strait,Near Badu Island,Pearl diving,M,Heel injured,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1920.00.00.b-StanleyBay.pdf,,33.78129351579779,Oct
02-Oct-1929,1929.0,Unprovoked,SPAIN,Valencia,Nasareth Beach,Fishing ,M,Arm injured when sharks rammed his boat,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1920.00.00.a-TugelaRiver.pdf,,6.264440434430011,Oct
01-Sep-1929,1929.0,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",Fell from wharf into water & attacked immediately,M,"FATAL, severe injuries to both legs ",Y,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1919.12.30.R-Brothy.pdf,,42,Sep
05-Aug-1929,1929.0,Unprovoked,USA,South Carolina,Fort Moultrie,Bathing,M,Left foot & ankle bitten,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1919.12.07-Ridley.pdf,,15.677200007762066,Aug
29-Jul-1929,1929.0,Unprovoked,MEXICO,Tamaulipas,Tampico,Swimming,M,Right leg severed below knee,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1919.11.18-sailor.pdf,,24.688349609579937,Jul
Reported 17-Jul-1929,1929.0,Invalid,CAPE VERDE,Santiago Island,Tarrafal,,F,Body of woman recovered from 15' shark,NaN,,Shark involvement prior to death unconfirmed,http://sharkattackfile.net/spreadsheets/pdf_directory/1919.09.12-CostaRica.pdf,,42.169577857735845,Jul
23-Jun-1929,1929.0,Provoked,USA,Florida,"Fort Pierce, St Lucie County",Fishing,M,Leg bitten by hooked shark PROVOKED INCIDENT,N,,9-foot shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1919.08.10-Eaton.pdf,,31.9904618782911,Jun
31-May-1929,1929.0,Unprovoked,AUSTRALIA,Torres Strait,,Pearl diving,M,"Injuries to both legs, buttocks, back, lower abdomen & chest",N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1919.05.29-WE-Davis.pdf,,-6.096929455408265,May
Reported 26-Apr-1929,1929.0,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef,Diving for trepang,M,Thigh bitten,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1919.04.06-Rose-Koegler.pdf,,18.152229696048657,Apr
Reported 17-Apr-1929,1929.0,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef,Diving for trochus,M,Lacerations to right wrist,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1919.03.16-Cadets.pdf,,22.067568479192825,Apr
