date,year,type,country,area,location,activity,sex,injury,fatal_(y/n),time,species,href,species_sorted,age3,month_attack
25-Jun-2018,2018.0,Boating,USA,California,"Oceanside, San Diego County",Paddling,F,"No injury to occupant, outrigger canoe and paddle damaged",N,Evening,White shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.25-Wolfe.pdf,White shark,57,Jun
18-Jun-2018,2018.0,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",Standing,F,Minor injury to left thigh,N,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.18-McNeely.pdf,,11,Jun
09-Jun-2018,2018.0,Invalid,USA,Hawaii,"Habush, Oahu",Surfing,M,Injury to left lower leg from surfboard skeg,N,Morning,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.09-Denges.pdf,,48,Jun
08-Jun-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,Surfing,M,Minor injury to lower leg,N,,2 m shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.08-Arrawarra.pdf,,38.59037635595453,Jun
04-Jun-2018,2018.0,Provoked,MEXICO,Colima,La Ticla,Free diving,M,Lacerations to leg & hand shark PROVOKED INCIDENT,N,,"Tiger shark, 3m",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.04-Ramos.pdf,Tiger shark,36.17418394633741,Jun
03-Jun-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Ballina",Kite surfing,M,"No injury, board bitten",N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.b-FlatRock.pdf,,7.05786412580256,Jun
03-Jun-2018,2018.0,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,FATAL,Y,,Tiger shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.a-daSilva.pdf,Tiger shark,18,Jun
27-May-2018,2018.0,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,Minor injury to foot. PROVOKED INCIDENT,N,,"Lemon shark, 3'",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.27-Ponce.pdf,Lemon shark,52,May
26-May-2018,2018.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Walking,M,Lower left leg bitten,N,Afternoon,"Bull shark, 6'",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.b-High.pdf,Bull shark,15,May
26-May-2018,2018.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,M,Minor injury to foot,N,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.a-DaytonaBeach.pdf,,12,May
24-May-2018,2018.0,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,Feeding sharks,M,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Morning,Grey reef shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.24-CairnsAquarium.pdf,,32,May
21-May-2018,2018.0,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,M,Injuries to lower right leg and foot,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.21-deBoer.pdf,,10,May
13-May-2018,2018.0,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,Severe bite to right forearm,N,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.b-Turrell.pdf,,10,May
13-May-2018,2018.0,Invalid,ENGLAND,Cornwall,Off Land's End,Fishing,M,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,Morning,Invalid incident,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.a-Berryman.pdf,,21,May
May 2018,2018.0,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,Feeding sharks,F,Shallow lacerations to finger PROVOKED INCIDENT,N,,"Tawny nurse shark, 2m",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.00-Brunning.pdf,,34,May
12-May-2018,2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,"Minor injury, marks on board",N,Morning,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.12-EastLondon.pdf,,24.346608660757155,May
09-May-2018,2018.0,Questionable,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,"No injury, surfboard damaged",N,Morning,Shark involvement not confirmed,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.09-SharpesBeach.pdf,,39.37139335499427,May
Reported 30-Apr-2018,2018.0,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,Minor injury to ankle,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.30.R-Thailand.pdf,,13.768276742296802,Apr
28-Apr-2018,2018.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,M,"No injury, shark bit scuba gear",N,Morning,Tiger shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.b-CostaRica.pdf,Tiger shark,30,Apr
28-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,Surfing,M,"No injury, knocked off board by shark",N,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.a-Murray.pdf,,43.5902974179231,Apr
25-Apr-2018,2018.0,Questionable,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,No injury,N,Morning,Questionable,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.b-Lee.pdf,,15.995778533924929,Apr
25-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,M,"No injury, knocked off board by shark",N,Morning,3 m shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.a-Bruce.pdf,,60,Apr
24-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,"No injury, shark struck his leg",N,Afternoon,"White shark, 3.5 m",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.24-Burch.pdf,White shark,22.5608020433094,Apr
23-Apr-2018,2018.0,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,M,5-inch cut to hand,N,Evening,Tiger shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.23-Maldives.pdf,Tiger shark,32,Apr
22-Apr-2018,2018.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,M,"No injury, shark bit hole in ski",N,Morning,"White shark, 2.5 m",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.22-PlettenbergBay.pdf,White shark,33,Apr
19-Apr-2018,2018.0,Unprovoked,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",Body boarding,M,Lacerations to right lower leg,N,,6' shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.19-McWilliams.pdf,6' shark,29,Apr
15-Apr-2018,2018.0,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,Lacerations to foot and ankle,N,,Juvenile bull shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.c-deMelo.pdf,,54,Apr
15-Apr-2018,2018.0,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",NaN,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.b-Longrass.pdf,,34,Apr
15-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,Laceration to right thigh,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.a-Travaglini.pdf,,41,Apr
15-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,Lacerations to legs,N,Morning,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.05-McConnell.pdf,,37,Apr
14-Apr-2018,2018.0,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,Surfing,M,No Injury. Shark swam away with the surf board,N,Morning,Tiger shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.31-Hawaii.pdf,Tiger shark,46.77472719296918,Apr
Reported 10-Apr-2018,2018.0,Invalid,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,,Shark involvement not confirmed,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.14-WatermansBay.pdf,,56,Apr
09-Apr-2018,2018.0,Unprovoked,NEW CALEDONIA,,"Magenta Beach, Noumea",Windsurfing,NaN,"No injury, shark bit board",N,Afternoon,2 m shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.b-Crossland.pdf,,9.85013069028653,Apr
05-Apr-2018,2018.0,Unprovoked,BAHAMAS,,Bimini,Swimming,M,"2 puncture wounds to left foot, abrasion to right foot",N,Evening,Bull shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.24-Polly.pdf,Bull shark,12,Apr
03-Apr-2018,2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,M,Lacerations to left knee & lower leg,N,Afternoon,White shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.23-Shurapey.pdf,White shark,19,Apr
31-Mar-2018,2018.0,Unprovoked,USA,Hawaii,Kukio Beach,Stand-Up Paddleboarding,M,Injuries to right leg & hand,N,Morning,"Tiger shark, 12'",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.17-Palmer.pdf,Tiger shark,25,Mar
14-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Wading,M,Minor injuries to legs,N,Afternoon,Wobbegong shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.15-Hoare.pdf,Wobbegong shark,10,Mar
9-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Victoria,Lorne,Swimming,M,"No injury, said to have been charged by sharks several times",N,Afternoon,3.5 m shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.14-Babd.pdf,,69,Mar
9-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Victoria,Winkipop,Surfing,M,"Minor injury, ankle grazed",N,Morning,1.8 m shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.03-Newman.pdf,,18,Mar
24-Feb-2018,2018.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Scuba Diving,M, The shark & man simply collided; neither were injured,N,,Blacktip shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.01-Martin.pdf,Blacktip shark,38,Feb
23-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,Laceratons to right leg & foot,N,,"Juvenile white shark,  2.7 to 3.2 m",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.28-ConeBay.pdf,,55,Feb
18-Feb-2018,2018.0,Provoked,AUSTRALIA,Victoria,Westernport Bay,Kayak fishing for sharks,M,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,Night,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.21-NewCaledonia.pdf,,34,Feb
15-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,M,Puncture wounds to leff foot & lower leg,N,Afternoon,"Bull shark, 2 m",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.12-Bulhoes.pdf,Bull shark,35,Feb
14-Feb-2018,2018.0,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,F,"Collision / No injury, no attack",N,Evening,Possibly a wobbegong,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.05-Justin.pdf,,22.767443393074174,Feb
11-Feb-2018,2018.0,Invalid,BRAZIL,"Boi Island, Victoria",Espirito Santo,Cleaning fish,F,Lacerations to 4 toes of right foot,N,,"Injury believed caused by an eel, not a shark",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.31-Mariano.pdf,,46,Feb
03-Feb-2018,2018.0,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,M,Injuries to right foot,N,,Galapagos shark?,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.09-Carroll.pdf,Galapagos shark,45,Feb
01-Feb-2018,2018.0,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,M,"No injury no attack. This is considerd an ""encounter""",N,,2m shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.b-Jimenez.pdf,,14,Feb
28-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,,M,Injuries to right leg,N,Morning,Bull shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.a-Bhandari.pdf,Bull shark,18,Jan
21-Jan-2018,2018.0,Unprovoked,NEW CALEDONIA,,Nouville,Spearfishing,M,Injuries to abdomen and arm,N,Afternoon,"Bull shark, 3 m ",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.25.R-Libya.pdf,Bull shark,40,Jan
14-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving,M,Severe laceration to left forearm,N,Afternoon,Grey reef shark. 2 m,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.24-Azatian.pdf,,35.31212310097978,Jan
13-Jan-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Free diving,M,"No injury, shark took his swimfin",N,,"White shark, 3.5 m",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.18-Anderson.pdf,White shark,28,Jan
12-Jan-2018,2018.0,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,M,Minor injury to left forearm,N,,small shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13.R-Timur.pdf,,20,Jan
05-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,Foot bitten,N,,Wobbegong shark?,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13-Fry.pdf,Wobbegong shark,16.028545101811794,Jan
31-Dec-2017,2017.0,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,F,Severe lacerations to left thigh & knee,N,Evening,Tiger shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.04-Cuba.pdf,Tiger shark,54,Dec
30-Dec-2017,2017.0,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,Foot bitten,N,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.28-Birubi.pdf,,35,Dec
21-Dec-2017,2017.0,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,Fishing / Wading,M,"Minor injury to thigh, PROVOKED INCIDENT",N,,Juvenile nurse shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.c-Mauritius.pdf,,24,Dec
09-Dec-2017,2017.0,Unprovoked,BAHAMAS,,,Snorkeling,F,Minor injury to arm,N,,Nurse shark. 5',http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.b-Hartl.pdf,Nurse shark,25,Dec
30-Nov-2017,2017.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba Diving,M,Serious injury to leg,N,,"Tiger shark, female",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.a-Peteka.pdf,Tiger shark,26,Nov
30-Nov-2017,2017.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,F,FATAL,Y,,"Tiger shark, female",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.22-Williams.pdf,Tiger shark,49,Nov
Reported 25-Nov-2017,2017.0,Sea Disaster,LIBYA,, Gars Garabulli,2 boats capsized,NaN,FATAL,Y,,Some drowned but other may have been killed by blue sharks,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21-Lomas.pdf,,-13.648074703103113,Nov
24-Nov-2017,2017.0,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Spearfishing,M,Right leg bitten,N,Afternoon,"White shark, 4.6 m",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.18-Iribam.pdf,White shark,25,Nov
18-Nov-2017,2017.0,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,F,Heel bitten,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.09-Milan.pdf,,14,Nov
Reported 13-Nov-2017,2017.0,Unprovoked,,,,Surfing,M,Puncture wounds to feet,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.05-Hawaii.pdf,,24,Nov
13-Nov-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,M,Puncture wounds to left shoulder,N,Afternoon,2 m shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.01-Fick.pdf,,25,Nov
04-Nov-2017,2017.0,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,Night bathing,M,FATAL,Y,Evening,Tiger shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.25.a-Vissers.pdf,Tiger shark,22,Nov
Reported 31-Oct-2017,2017.0,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Snorkeling,M,Calf injured,N,,Cookiecutter shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.24.b-Behrend.pdf,Cookiecutter shark,7,Oct
28-Oct-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,Surfing,M,Minor injury to foot,N,Morning,"Wobbegong shark, 1 m",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.b-GrandCanary.pdf,Wobbegong shark,31,Oct
26-Oct-2017,2017.0,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,M,No injury but shark bit SUP,N,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.a-Volusia.pdf,,31.39824050669317,Oct
23-Oct-2017,2017.0,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,Swimming,M,Minor injury to foot,N,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.b-Love.pdf,,5.9058690202168584,Oct
23-Oct-2017,2017.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing ,M,Lacerations to left foot,N,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.a-Samoa.pdf,,17,Oct
23-Oct-2017,2017.0,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,Severe lacerations to left hand & wrist,N,Morning,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.14-EsperanceBoats.pdf,,60,Oct
22-Oct-2017,2017.0,Unprovoked,AUSTRALIA,South Australia,Normanville,Kayaking / Fishing,F,Minor injuries,N,Afternoon,"White shark, 4.5 m",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.10.b-Samson.pdf,White shark,15,Oct
21-Oct-2017,2017.0,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,"No injury, shark shook kayak x3 ",N,Morning,2 m shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.10.a-McGrath.pdf,,39.248852013802214,Oct
18-Oct-2017,2017.0,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",Swimming,M,Puncture wounds & lacerations to foot,N,Afternoon,"Spinner shark, 4 to 5 feet",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.03.b-Xelela.pdf,Spinner shark,-5.239464405221625,Oct
09-Oct-2017,2017.0,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,Lacerations to left hand,N,Evening,"Tiger shark, 8 to 10 feet",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.03.a-Japan.pdf,Tiger shark,54,Oct
05-Oct-2017,2017.0,Unprovoked,USA,Hawaii,"Kamaole Beach Park, Maui ",Snorkeling,F,Abrasions,N,Afternoon,8' shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.c-Maccarty.pdf,8' shark,40,Oct
01-Oct-2017,2017.0,Invalid,SOUTH AFRICA,Western Cape Province,Dyer Island,Scuba Diving,M,FATAL,NaN,,Death may have been due to drowning,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.b-SouthPadre.pdf,,31,Oct
25-Sep-2017,2017.0,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,Lacerations to lower left leg and foot,N,Morning,5' shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.a-Elmore.pdf,5' shark,35.13287700514797,Sep
25-Sep-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,M,"No injury, board damaged by shark",N,Evening,"White shark, 3.5 m",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.27-Veatch.pdf,White shark,33.199010398891126,Sep
24-Sep-2017,2017.0,Invalid,USA,New York,Rockaway,Surfing,M,"Lacerations to right ankle, foot & toe",NaN,Afternoon,Questionable,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.26.b-Spain.pdf,,33,Sep
24-Sep-2017,2017.0,Unprovoked,USA,Florida,Fort Worth,Surfing,M,Laceration to upper arm,N,Afternoon,4' to 5' shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.26.a-Kensington.pdf,5' shark,12.442723668379472,Sep
20-Sep-2017,2017.0,Unprovoked,USA,Florida,Palm Beach County,Surfing,M,Minor lacerations to sole of left foot,N,Morning,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.23-Bigelow.pdf,,51.70705120366193,Sep
16-Sep-2017,2017.0,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,Body surfing,M,Lacerations to right foot,N,,"Porbeagle, 1.5 m",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.18-JupiterDiver.pdf,,13,Sep
16-Sep-2017,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Lacerations to left foot,N,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.10-Suttle.pdf,,28,Sep
15-Sep-2017,2017.0,Invalid,SOUTH AFRICA,Western Cape Province,Hawston,Scuba Diving,M,"FATAL, but death was probably due to drowning",NaN,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.05-Schachinger.pdf,,25,Sep
15-Sep-2017,2017.0,,SAMOA, Upolu Island,Nofoalii,Fishing,M,Injuries to hands and legs,N,Night,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.03-Massachusetts.pdf,,30.266471756256507,Sep
Sep-2017,2017.0,Boating,AUSTRALIA,Westerm Australia,Esperance,Fishing,NaN,"sharks rammed boats, no injury to occupants",N,,"White shark, 3.5m",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.01-Conroy.pdf,White shark,2.467277133285304,Sep
13-Sep-2017,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Lacerations to left foot,N,Evening,5' to 6' shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.29.c-Simatacolos.pdf,6' shark,18,Sep
10-Sep-2017,2017.0,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,Swimming,M,Minor injuries,N,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.29.a-Georgetown.pdf,,39.775711259518545,Sep
10-Sep-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,Surfing,M,Minor lacerations to right hip,N,Morning,"White shark, 3 to 3.5m ",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.27-Bahamas.pdf,White shark,35,Sep
Reported 06-Sep-2017,2017.0,Unprovoked,SOLOMON ISLANDS,,Owarigi Island,Spearfishing,M,Foot bitten,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.26.R-Massey.pdf,,-4.47792471175913,Sep
03-Sep-2017,2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching abalone",M,FATAL,Y,Morning,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.24-Matsu.pdf,,26.683630485755632,Sep
03-Sep-2017,2017.0,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,Surfing,M,Injury to ankle & feet,N,Morning,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.23.a-Majorca.pdf,,42,Sep
02-Sep-2017,2017.0,Unprovoked,USA,Florida,"Marathon, Monroe County",Swimming,M,Lacerations to abdomen,N,,Nurse shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.22-Keys.pdf,Nurse shark,24.131203616743452,Sep
02-Sep-2017,2017.0,Unprovoked,USA,Texas,"South Padre Island, Cameron County",Swimming,F,Lacerations to foot,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.20.b-Jackson.pdf,,46.59927738090435,Sep
02-Sep-2017,2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Minor injury to right hand,N,Morning,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.20.a-Geyling.pdf,,17,Sep
29-Aug-2017,2017.0,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,Surfing,M,"No injury, board bitten",N,Morning,"White shark, 3 m",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.11-Lawson.pdf,White shark,37,Aug
27-Aug-2017,2017.0,Unprovoked,USA,Florida,Bathtub Beach ,Wading,F,Leg injured,N,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.09-Lanza.pdf,,3,Aug
26-Aug-2017,2017.0,Invalid,SPAIN,Castellón,Grao de Moncofa,Swimming,F,Lacerations to left foot,NaN,,Shark involvement questionable,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.07.R-Rodriguez.pdf,,11,Aug
26-Aug-2017,2017.0,Unprovoked,NEW ZEALAND,North Island,Off Tutukaka,Canoeing,M,"No injury, shark bit canoe",N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.07-Stein.pdf,,25.124627984059376,Aug
23-Aug-2017,2017.0,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,M,Not injured by shark but board bitten,N,Morning,"White shark, 5' to 7'",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.02-Comoros.pdf,White shark,69,Aug
18-Aug-2017,2017.0,Unprovoked,BAHAMAS,,,Spearfishing,M,Hand injured,N,Afternoon,5' shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.29-Wrightsville.pdf,5' shark,0.9779431197370414,Aug
10-Aug-2017,2017.0,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,Minor cuts to sole & toes of left foot,N,Afternoon,Possibly a juvenile blacktip shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.21-Wallhauser.pdf,,13,Aug
05-Aug-2017,2017.0,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Ghalib,Snorkeling,F,Bite to right leg/hip,N,,"Oceanic whitetip shark, 1.8 to 2 m",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.19-SingerIsland.pdf,,20,Aug
